# General
## Title
### Air Temperature
## Abstract
### ERA5
## Date
### 2023-02-01
## Date type
### Publication: Date identifies when the data was issued
## Unit
### K
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2022-12-31-2300
## Temporal resolution
### 1 day
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-01,282.30423583333334,266.3372229166667,277.3168341666666,259.02402916666665,281.8778595833333,263.86642208333336,287.23781416666674,260.00208125,260.14830125000003,264.20947375000003,248.20409041666667,285.1896316666667,281.58271958333336,253.7826820833333,269.56669875000006,277.7953441666667,273.8025016666666,268.27006624999996,262.26699041666666,279.6730483333334,,253.70172291666663,258.80541,253.57117291666665,278.3247041666666,280.60714208333326,,262.53606916666666,253.78463166666663,255.91859249999996,283.0373720833333,277.8385004166666,279.28030624999997,256.14134458333336,275.18669041666664,267.8758020833333,279.8427808333334,267.61792625000004
1979-01-02,273.9558054166667,258.2206679166667,261.9815170833333,265.08147791666664,270.80986416666667,256.6330145833333,288.0802175,261.33095125,261.59737125,266.3387779166667,254.09734208333327,280.99795750000004,279.87525083333327,252.98970999999997,268.2855537499999,265.67394041666665,265.37880375000003,271.4236508333334,260.3468079166667,270.2943429166667,,251.5366291666667,264.43960583333336,253.59567958333335,262.40325208333337,270.1803604166667,,263.71257083333325,257.98853249999996,261.05322125000004,282.0565654166667,264.25558541666663,263.53863874999996,258.3561908333333,263.36267374999994,261.29829166666667,280.2685904166666,271.2247541666666
1979-01-03,263.4748383333333,258.8182141666667,259.225885,263.7984254166667,263.26714875,258.92968166666674,286.84409875,263.2243245833333,264.01937375,265.71355458333335,255.86045833333336,270.54502916666667,279.67557833333325,252.68578791666667,269.31172749999996,264.17414625,265.8100395833333,276.54198791666664,259.51179249999996,266.98450500000007,,246.36861666666667,262.77400624999996,251.99079166666664,257.0432695833333,261.7627504166667,,267.55949791666666,255.29571041666668,262.58606791666665,283.3728470833333,261.8282891666667,263.3397366666667,255.64219041666664,261.80204583333335,262.0152091666667,276.8590175,271.44976916666667
1979-01-04,264.4806375,258.06910416666665,262.5553483333333,265.603245,264.6019866666667,259.28103541666655,279.8189783333334,262.6616154166666,262.4048941666667,264.24374250000005,256.9401941666667,270.60049,279.59328791666667,252.09097291666671,272.4761395833333,267.57175875,266.8232020833334,274.5292958333333,258.58242916666666,269.59940874999995,,250.68603333333337,264.26983249999995,254.16665749999996,259.56327500000003,263.55989,,264.42122625000013,255.32602874999998,257.95105958333335,280.6737858333333,262.58847375,266.0129808333334,253.4898025,264.4523791666667,262.1132304166667,268.9064262499999,271.50679916666667
1979-01-05,275.31174625000006,256.5749370833333,265.836665,262.116955,269.28071458333335,259.80734541666664,280.6485304166667,260.6002954166667,260.6256962500001,265.17890166666666,260.5359191666667,278.9766608333333,277.6523454166666,252.64264916666664,272.03757,267.1101291666667,264.5089433333333,272.6971154166667,268.0914145833333,272.42232958333335,,258.00339791666664,261.42112791666665,259.76560875,268.61727958333336,270.44139958333335,,262.39351708333334,256.28062958333334,262.2255075,278.11677291666666,263.00341958333337,266.4087591666667,252.90119250000006,264.235795,260.1849920833334,268.4297520833333,269.67083833333334
1979-01-06,274.66312541666673,258.57844,262.91476458333335,260.62838875000006,265.7850470833333,261.70651791666666,285.99753208333334,259.9791575,260.65456083333333,270.18274291666665,257.78431374999997,278.40066625000003,278.2674275,253.46411916666668,270.7169920833334,265.32647833333334,264.24459375000004,278.63150875,264.6885591666666,273.5812095833333,,260.3160316666666,261.0672104166667,259.04696499999994,267.22912749999995,269.35842499999995,,262.22152125,259.46506125,262.65961375,279.5664758333333,262.8175195833333,262.9879416666667,256.6470758333333,262.13182791666674,261.3611449999999,271.3418075,273.8957025
1979-01-07,272.30987000000005,260.37097416666666,260.2967158333333,267.36310333333336,264.3334591666666,262.0801387500001,285.71239166666663,260.45193666666665,265.0158420833334,274.41266874999997,266.79749416666664,275.59876,279.3424604166667,263.58924583333334,270.35447041666663,264.2734670833333,264.3831570833333,280.37097375,262.40906458333336,273.07768458333334,,264.49978708333333,263.0355354166667,264.9291795833334,262.40558875,265.73598749999996,,270.0040533333333,266.1564304166667,262.5495704166667,281.3348066666667,262.06264749999997,262.95844333333326,266.43527666666677,262.7459158333333,260.68362791666664,268.7063279166667,278.47888041666664
1979-01-08,268.20476499999995,263.48052249999995,263.15131833333334,272.23796125,264.0818208333334,265.0878125,280.5735154166667,266.3235908333334,271.0397925,275.01609208333326,272.6457875,270.4060904166667,280.26694249999997,266.7196341666667,273.3406466666667,265.7053516666667,265.28792291666673,276.46227125,261.26637999999997,272.83789041666665,,272.65632208333335,266.80549249999996,273.4077641666666,264.01694333333336,262.4800875,,274.3847283333333,265.90341416666666,271.01128124999997,280.9661079166667,262.67270625000003,263.36266000000006,268.72485333333333,265.6680791666667,263.13508041666665,266.79976500000004,276.6008004166667
1979-01-09,269.7771670833333,267.26011208333335,269.94836875000004,273.20282749999996,266.8077420833333,269.60671333333335,281.35043875,268.84468999999996,273.1341266666667,273.46460166666674,272.9550445833334,272.26391916666665,279.80997874999997,262.4937720833334,275.5598120833333,273.05814416666664,269.5428395833333,274.7756983333333,261.18898458333325,275.62568416666664,,273.12123,272.45700875000006,273.6233074999999,268.1626479166667,265.42503208333335,,274.20405,263.20994041666677,271.36285625,279.92617791666663,266.54211416666664,267.394435,265.1953141666667,272.5316975,265.59748041666666,266.3986458333333,274.3180229166666
1979-01-10,276.34845666666666,269.53167499999995,275.14179916666666,273.44233125,271.99135375,268.8656833333333,282.68009083333334,270.16704250000004,272.72023333333334,272.0769370833333,272.0015587499999,276.8308704166667,278.3645754166667,263.40184916666664,275.52284875000004,275.12558874999996,272.69333374999997,274.8228995833333,259.39690708333336,277.14837000000006,,271.4396074999999,272.94225791666673,271.7778775,275.28118541666663,272.7710754166667,,273.73045124999993,260.4277241666667,271.7273483333333,280.1622170833333,271.5669704166666,274.70197958333324,261.0076654166667,273.0666875000001,270.4178091666667,268.03857,273.71279208333334
